"ACC_MIL","ACH_MIL","YEAR","STATE_SHORT","POP_MIL","SUSPEND","INTERLOCK_1ST","INTERLOCK_REPEAT","GALLONS_ALCOHOL_PER_CAP_21","BEER_TAX","PERCENT_POVERTY","MEDIAN_INCOME","PERCENT_UNINSURE","LESS_HS_P","HS_P","SOME_C_P","BACHELORS_P","GRAD_PROF_P"
557.1213213607,45.4577169232,2013,"DE",0.945934,"yes","no","yes",40369,0.16,12.9,58244,10.9,0.1225430257,0.3169333429,0.27193622,0.1718214631,0.1167659483
557.1213213607,44.4005607157,2014,"DE",0.945934,"yes","no","yes",40215,0.16,13,59853,9.3,0.1196145508,0.3153654616,0.2706599923,0.1749870347,0.1193729606
578.3060875509,32.1144129485,2011,"FL",20.271272,"yes","no","yes",28397,0.48,17,44250,24.8,0.144536704,0.3009891101,0.2945072505,0.1676411143,0.0923258211
578.3060875509,30.5851551891,2012,"FL",20.271272,"yes","no","yes",30264,0.48,17.2,45006,24.1,0.1417595446,0.2982929737,0.2982724825,0.1681401753,0.093534824
578.3060875509,31.1771259347,2013,"FL",20.271272,"yes","no","yes",30177,0.48,17.1,46021,24.3,0.1388749828,0.2976704417,0.2994477268,0.1692462168,0.0947606319
578.3060875509,28.9079047432,2014,"FL",20.271272,"yes","no","yes",28671,0.48,16.6,47439,20.2,0.1354601627,0.2967240729,0.3001904053,0.1714246612,0.0962006979
561.6327585498,24.4741484465,2011,"GA",10.21486,"yes","no","yes4",22434,1.01,19.2,45886,21.7,0.1600557564,0.2939280918,0.2709921412,0.176606803,0.0984172076
561.6327585498,26.4320803222,2012,"GA",10.21486,"yes","no","yes4",22622,1.01,19.2,47125,20.7,0.1557532646,0.2892640266,0.277342536,0.1771308903,0.1005092825
561.6327585498,24.5720450403,2013,"GA",10.21486,"yes","no","yes4",22459,1.01,19,47765,21.2,0.1526078898,0.2874138084,0.280395754,0.1774250686,0.1021574792
561.6327585498,23.2014927273,2014,"GA",10.21486,"yes","no","yes4",22306,1.01,18.4,49240,18,0.1496564342,0.2857983008,0.2814290055,0.1791942988,0.1039219608
338.08255501,30.0362600525,2011,"HI",1.431603,"yes","no","yes",27832,0.93,12.1,62071,8.1,0.0986958027,0.2865716511,0.3196687018,0.195814203,0.0992496414
338.08255501,28.6392247013,2012,"HI",1.431603,"yes","no","yes",28239,0.93,11.8,66086,7.8,0.0974171777,0.2839779256,0.3225360186,0.1957329345,0.1003359436
338.08255501,24.4481186474,2013,"HI",1.431603,"yes","no","yes",28358,0.93,11.2,67798,7.6,0.0959213061,0.2810266708,0.3219575002,0.1986523374,0.1024421855
338.08255501,19.5584949179,2014,"HI",1.431603,"yes","no","yes",28578,0.93,11.5,69549,6,0.0927799273,0.2812318915,0.321275515,0.2016189504,0.1030937159
540.2041173947,29.0042479138,2011,"ID",1.65493,"yes","no","yes",30331,0.15,16.5,43345,18.9,0.1154547056,0.284006729,0.3549669475,0.1692731324,0.0762984856
540.2041173947,29.6085030787,2012,"ID",1.65493,"yes","no","yes",31610,0.15,16,45296,18.5,0.1139253599,0.2795435279,0.3594028222,0.1696134143,0.0775148757
540.2041173947,38.0680753869,2013,"ID",1.65493,"yes","no","yes",32090,0.15,15.6,46621,18.8,0.111965081,0.27838265,0.3589963894,0.1722140855,0.0784417941
540.2041173947,33.2340340679,2014,"ID",1.65493,"yes","no","yes",32158,0.15,14.8,47572,15.7,0.1085725371,0.2773053717,0.3599445389,0.173956929,0.0802206232
340.2023095654,20.5287793658,2011,"IL",12.859995,"yes","no","yes",26529,0.23,14.9,53271,14.8,0.1336222496,0.2761788473,0.2836439862,0.1909098675,0.1156450493
340.2023095654,25.4276926235,2012,"IL",12.859995,"yes","no","yes",26733,0.23,14.7,55126,14.6,0.130313937,0.2720164795,0.2868704733,0.1930136205,0.1177854897
340.2023095654,23.9502425934,2013,"IL",12.859995,"yes","no","yes",26382,0.23,14.6,56212,14.6,0.1271932077,0.2713345262,0.2870330101,0.1948293596,0.1196098964
340.2023095654,21.3063846448,2014,"IL",12.859995,"yes","no","yes",26212,0.23,14.3,57458,11.2,0.1240741985,0.2700780498,0.2869509045,0.1972325392,0.121664308
538.6967345854,25.9831290939,2011,"IN",6.61968,"yes","no","no",23113,0.12,15.8,46410,16.6,0.1336384187,0.35821998,0.2812714238,0.1455968011,0.0812733764
538.6967345854,30.5150702149,2012,"IN",6.61968,"yes","no","no",23766,0.12,15.5,46954,16.6,0.1300335908,0.3542317607,0.2858989231,0.1473586343,0.0824770911
538.6967345854,25.5299349818,2013,"IN",6.61968,"yes","no","no",23731,0.12,15.8,47508,16.1,0.1278148846,0.3523702722,0.2878946051,0.1484179636,0.0835022745
538.6967345854,22.055446789,2014,"IN",6.61968,"yes","no","no",23258,0.12,15.2,49384,14,0.1238743986,0.3495898498,0.2903326843,0.1510539507,0.0851491166
486.2513160637,19.2067669281,2011,"IA",3.123899,"yes","no","yes",26760,0.19,12.7,49545,10.4,0.0969022212,0.3379629167,0.3163514716,0.1721724955,0.076610895
486.2513160637,23.0481203137,2012,"IA",3.123899,"yes","no","yes",27320,0.19,12.7,50997,9.9,0.0931815146,0.3311131296,0.3224591024,0.1753505735,0.0778956799
486.2513160637,26.8894736994,2013,"IA",3.123899,"yes","no","yes",26534,0.19,12.6,52286,9.6,0.0903238189,0.32879299,0.3234627001,0.1773901562,0.0800303347
486.2513160637,23.688345878,2014,"IA",3.123899,"yes","no","yes",26592,0.19,12.3,53816,7.3,0.0873354907,0.3250936025,0.3240494335,0.1799031066,0.0836183668
586.610780656,35.3752402855,2011,"KS",2.911641,"yes","no","yes",21699,0.18,13.8,48844,14.4,0.1049429324,0.283999122,0.3138591967,0.1949034241,0.1022953248
586.610780656,33.3145466766,2012,"KS",2.911641,"yes","no","yes",22262,0.18,14,50140,14.4,0.102748032,0.2781229751,0.3191560319,0.1956221686,0.1043507923
586.610780656,31.5973020025,2013,"KS",2.911641,"yes","no","yes",21470,0.18,13.9,50892,14.1,0.1017680986,0.2749455408,0.3206852936,0.1964238031,0.1061772639
586.610780656,32.2841998722,2014,"KS",2.911641,"yes","no","yes",21915,0.18,13.5,52392,11.7,0.1004933686,0.2717447932,0.3206095513,0.198739026,0.1084132609
736.481862976,41.5810563939,2011,"KY",4.425092,"no","no","yes",20253,0.08,19.1,41141,16.9,0.1834431591,0.3427156334,0.2674365053,0.1228253932,0.083579309
736.481862976,40.6771203853,2012,"KY",4.425092,"no","no","yes",21073,0.08,19.3,41717,16.2,0.1757904776,0.3404228928,0.2739779127,0.1246902452,0.0851184717
736.481862976,39.5472003746,2013,"KY",4.425092,"no","no","yes",20835,0.08,18.8,43307,16.8,0.1700720987,0.3386544243,0.276017187,0.1276246936,0.0876315963
736.481862976,39.5472003746,2014,"KY",4.425092,"no","no","yes",21101,0.08,19,42914,9.9,0.1653871182,0.337285085,0.2796082878,0.1285668071,0.0891527018
701.6042908979,44.1045114205,2011,"LA",4.670724,"yes","no","yes",29036,0.32,20.5,41804,20.1,0.1839648103,0.3460968157,0.2587462805,0.1415881495,0.0696039439
701.6042908979,41.9635157205,2012,"LA",4.670724,"yes","no","yes",29348,0.32,20.1,42998,19.4,0.1781989445,0.3429570744,0.2646088934,0.1429770044,0.0712580834
701.6042908979,45.8173079805,2013,"LA",4.670724,"yes","no","yes",29169,0.32,20,44234,19.1,0.1744753616,0.3407094401,0.2664754301,0.1455853675,0.0727544006
701.6042908979,48.6006023906,2014,"LA",4.670724,"yes","no","yes",29115,0.32,19.9,44680,16.9,0.171541184,0.3394966434,0.2677452847,0.1467254191,0.0744914688
505.5185778077,30.0903915362,2011,"ME",1.329328,"yes","no","yes",28270,0.35,14.2,46160,12.9,0.0975459886,0.3445582266,0.2868487086,0.1743606981,0.0966863781
505.5185778077,42.878807939,2012,"ME",1.329328,"yes","no","yes",29560,0.35,14.4,46856,12.4,0.094048309,0.3420965158,0.2906200992,0.1756986823,0.0975363937
505.5185778077,39.117508997,2013,"ME",1.329328,"yes","no","yes",29989,0.35,14,47095,13.5,0.0893657351,0.3389573202,0.29220561,0.1792265507,0.1002447839
505.5185778077,27.833612171,2014,"ME",1.329328,"yes","no","yes",30121,0.35,14,49381,12.4,0.0869077671,0.3354754794,0.2939757943,0.1828074843,0.1008334749
372.2695171368,25.4728247415,2011,"MD",6.006401,"yes","no","yes",24809,0.09,10.2,70075,12,0.1184680884,0.262258035,0.2586582388,0.1991618237,0.1614538141
372.2695171368,23.3084670837,2012,"MD",6.006401,"yes","no","yes",24871,0.09,10.4,71169,11.8,0.1150434988,0.2602228689,0.2613224018,0.1998350056,0.1635762249
372.2695171368,22.1430437295,2013,"MD",6.006401,"yes","no","yes",24459,0.09,10.2,72482,11.7,0.1128856817,0.2590843287,0.2599490113,0.2011360685,0.1669449099
372.2695171368,19.8121970211,2014,"MD",6.006401,"yes","no","yes",24112,0.09,10.4,73851,8.9,0.110036185,0.2574531366,0.2595668018,0.202783756,0.1701601206
247.5560099152,12.8046212025,2011,"MA",6.794422,"yes","no","yes",28800,0.11,11.6,63126,4.9,0.1110845608,0.2627982633,0.2389451159,0.2211562895,0.1660157704
247.5560099152,14.7179554052,2012,"MA",6.794422,"yes","no","yes",29025,0.11,11.9,65378,4.5,0.1085754757,0.2589960631,0.2427048267,0.2215229725,0.168200662
247.5560099152,13.8348780809,2013,"MA",6.794422,"yes","no","yes",28882,0.11,11.9,66794,4.3,0.1061273226,0.2579941889,0.2420778617,0.2230844163,0.1707162103
247.5560099152,14.8651349592,2014,"MA",6.794422,"yes","no","yes",28722,0.11,11.7,69200,3.8,0.1047835442,0.2556083226,0.2398498163,0.2259493141,0.1738090029
434.161451623,23.0786844061,2011,"MI",9.922576,"no","no","yes",25689,0.2,17.5,45931,13.6,0.1162366085,0.3109350216,0.3201153549,0.1555515692,0.0971614457
434.161451623,27.1098956561,2012,"MI",9.922576,"no","no","yes",25836,0.2,17.4,46793,13.4,0.113159056,0.3072591263,0.3243298378,0.1571523925,0.0980995875
434.161451623,25.0942900311,2013,"MI",9.922576,"no","no","yes",25334,0.2,17,48200,12.9,0.1107701075,0.304224253,0.3256689654,0.1592109042,0.1001257698
434.161451623,20.6599576562,2014,"MI",9.922576,"no","no","yes",26264,0.2,16.2,49755,10.1,0.1072542,0.3017627028,0.3268275307,0.1614819949,0.1026735716
316.781168152,19.3092603934,2011,"MN",5.489594,"yes","no","yes",27534,0.15,11.8,56944,10.2,0.0840733711,0.2750210215,0.3231033026,0.2149249028,0.1028774021
316.781168152,19.6735860612,2012,"MN",5.489594,"yes","no","yes",30598,0.15,11.4,58828,9.2,0.0810695293,0.271096615,0.3254891728,0.2178371173,0.1045075656
316.781168152,16.7589807188,2013,"MN",5.489594,"yes","no","yes",30702,0.15,11.2,60664,9.5,0.0794036264,0.2685839693,0.3259871135,0.2192906835,0.1067346072
316.781168152,16.9411435527,2014,"MN",5.489594,"yes","no","yes",31590,0.15,11.4,61473,6.7,0.0771771058,0.2643214045,0.3267881335,0.2227291519,0.1089842044
928.706798341,41.7734256181,2011,"MS",2.992333,"yes","no","yes",25249,0.43,22.8,36963,20.6,0.1965142678,0.3062101658,0.3006630256,0.1261798702,0.0704326706
928.706798341,35.7580523291,2012,"MS",2.992333,"yes","no","yes",25528,0.43,23.8,37179,19.7,0.1897788224,0.3041028449,0.306374941,0.1276211395,0.0721222522
928.706798341,55.4751092208,2013,"MS",2.992333,"yes","no","yes",25551,0.43,23.9,38191,20,0.1852714391,0.3049032642,0.3085933549,0.128303382,0.0729285599
928.706798341,40.1024885933,2014,"MS",2.992333,"yes","no","yes",25399,0.43,21.9,39738,17.1,0.1806030397,0.3024646156,0.3128663017,0.1289827741,0.0750832689
601.4459688162,38.463612108,2011,"MO",6.083672,"yes","no","yes",27756,0.06,15.8,45231,16,0.1319512908,0.3212876243,0.2927009672,0.1598883087,0.094171809
601.4459688162,42.7373467866,2012,"MO",6.083672,"yes","no","yes",27399,0.06,16.2,45320,15.8,0.1280849121,0.3172197903,0.2969762539,0.1615803649,0.0961386788
601.4459688162,36.3267447686,2013,"MO",6.083672,"yes","no","yes",27559,0.06,15.8,46905,15.3,0.1239659242,0.3158288296,0.2986110556,0.1638014515,0.0977927391
601.4459688162,32.8748821435,2014,"MO",6.083672,"yes","no","yes",27046,0.06,15.5,48288,13.7,0.1198184133,0.3140985324,0.2995006118,0.1669334042,0.0996490383
931.3141307073,75.5119565438,2011,"MT",1.032949,"no","no","no",33509,0.14,15.2,44011,21.6,0.085917671,0.3077512042,0.3247915549,0.1940303007,0.0875092693
931.3141307073,95.8420986903,2012,"MT",1.032949,"no","no","no",34525,0.14,15.6,45030,21.6,0.0813734384,0.3023191035,0.3314788251,0.1969711188,0.0878575142
931.3141307073,84.2248746066,2013,"MT",1.032949,"no","no","no",34431,0.14,16.1,46893,20,0.0786683915,0.3005618433,0.333983335,0.1973428601,0.0894435701
931.3141307073,80.3524665787,2014,"MT",1.032949,"no","no","no",34471,0.14,15.2,46608,16.8,0.07563454,0.2980071934,0.335657056,0.1984896778,0.0922115328
508.9152458351,27.9507855225,2011,"NE",1.89619,"yes","no","yes",26274,0.31,12.9,50281,13.3,0.0970235827,0.2919256829,0.3326301218,0.1894017077,0.0890189049
508.9152458351,43.2446115632,2012,"NE",1.89619,"yes","no","yes",26340,0.31,12.8,50766,12.9,0.0956850358,0.2866685012,0.3365322605,0.190324209,0.0907899935
508.9152458351,34.8066385752,2013,"NE",1.89619,"yes","no","yes",26305,0.31,12.9,51502,12.9,0.0954746972,0.2813358546,0.3377505543,0.1930527666,0.0923861273
508.9152458351,40.0803716927,2014,"NE",1.89619,"yes","no","yes",26055,0.31,12.3,52803,11,0.0948035602,0.2783130841,0.3372761525,0.1956034911,0.0940037122
439.3179156959,26.6358106367,2011,"NV",2.890845,"yes","no", "yes  (effective  10/01/18)" ,37693,0.16,15.8,49099,23.8,0.1576962718,0.2917708533,0.328873492,0.146916386,0.0747429968
439.3179156959,24.9062125434,2012,"NV",2.890845,"yes","no", "yes  (effective  10/01/18)" ,36731,0.16,16.2,49909,24.5,0.1561973592,0.2872421385,0.3343926871,0.1478256354,0.0743421798
439.3179156959,24.2143733061,2013,"NV",2.890845,"yes","no", "yes  (effective  10/01/18)" ,37010,0.16,15.8,51250,23.3,0.1536881129,0.2873746738,0.3354137325,0.1479416982,0.0755817825
439.3179156959,29.4031675859,2014,"NV",2.890845,"yes","no", "yes  (effective  10/01/18)" ,37533,0.16,15.4,51487,17.3,0.151489242,0.2865064505,0.3366547253,0.1486574094,0.0766921728
415.6397299918,27.1237859845,2011,"OH",11.613423,"yes","no","yes",22517,0.18,16.3,45803,13.9,0.1217575442,0.3536398057,0.2797309905,0.1548304409,0.0900412187
415.6397299918,31.3430415821,2012,"OH",11.613423,"yes","no","yes",23006,0.18,16.2,46873,13.5,0.1179811591,0.3492639154,0.2854162182,0.1564583646,0.0908803427
415.6397299918,24.1100319863,2013,"OH",11.613423,"yes","no","yes",23083,0.18,15.9,48138,13,0.1150991671,0.3470158213,0.2863578742,0.1584994294,0.0930277079
415.6397299918,28.3292875839,2014,"OH",11.613423,"yes","no","yes",22866,0.18,15.8,49349,9.9,0.1117821093,0.3446849685,0.2872889231,0.1609619757,0.0952820234
779.7843091034,55.4797360903,2011,"OK",3.911338,"yes","no","yes",21749,0.4,17.3,43232,21.8,0.1413358329,0.3209250626,0.3074360867,0.1547190471,0.0755839707
779.7843091034,51.3890643048,2012,"OK",3.911338,"yes","no","yes",21981,0.4,17.2,44336,21.4,0.1381639251,0.3172047487,0.312299324,0.1557120658,0.0766199364
779.7843091034,42.6963867607,2013,"OK",3.911338,"yes","no","yes",21813,0.4,16.7,45724,20.6,0.1360350899,0.317637315,0.3115925915,0.157401824,0.0773331797
779.7843091034,37.5830470289,2014,"OK",3.911338,"yes","no","yes",21609,0.4,16.6,47524,17.9,0.1330650621,0.3171027347,0.3116399487,0.1593585114,0.0788337432
407.5476231311,24.820196293,2011,"OR",4.028977,"yes","no","yes",29132,0.08,17.3,46876,18.1,0.1113228938,0.2520871104,0.3467127333,0.1841092695,0.105767993
407.5476231311,20.8489648861,2012,"OR",4.028977,"yes","no","yes",29791,0.08,17,49090,17.4,0.1084598881,0.2477695628,0.3513133776,0.1849260579,0.1075311136
407.5476231311,24.3237923671,2013,"OR",4.028977,"yes","no","yes",29684,0.08,16.5,50228,17.2,0.1061050376,0.2459724196,0.3508897877,0.1871986619,0.1098340932
407.5476231311,24.3237923671,2014,"OR",4.028977,"yes","no","yes",30044,0.08,16.4,51088,11.6,0.1051858237,0.2454354562,0.3486831883,0.1889155651,0.1117799667
447.5687293336,29.9941347407,2011,"PA",12.802503,"no","no","yes",25977,0.08,13.7,50221,12,0.1210280502,0.3755365146,0.2367389157,0.1645464663,0.1021500531
447.5687293336,30.7752319996,2012,"PA",12.802503,"no","no","yes",26390,0.08,13.7,51225,11.7,0.1170845348,0.372147319,0.2403083219,0.166197052,0.1042627723
447.5687293336,28.2757207712,2013,"PA",12.802503,"no","no","yes",26238,0.08,13.7,52005,11.6,0.1133756437,0.3704892892,0.2407156307,0.1685028238,0.1069166127
447.5687293336,25.3856609133,2014,"PA",12.802503,"no","no","yes",26305,0.08,13.6,53224,10.2,0.1103042418,0.3675166634,0.2411894705,0.1713918496,0.1095977747
679.363162184,34.9984144658,2011,"TN",6.600299,"no","no","yes",23006,1.29,18.4,41691,17,0.1681840315,0.3327553462,0.2687507014,0.1489542499,0.0813556711
679.363162184,41.2102542627,2012,"TN",6.600299,"no","no","yes",22535,1.29,18,42743,16.2,0.1612344709,0.3296323829,0.2742002263,0.1516938806,0.0832390394
679.363162184,35.6044476167,2013,"TN",6.600299,"no","no","yes",22440,1.29,17.8,44268,16.2,0.1560582363,0.3307298546,0.2747736982,0.1530564086,0.0853818024
679.363162184,35.6044476167,2014,"TN",6.600299,"no","no","yes",22627,1.29,18.2,44357,14.1,0.1505393033,0.3307688245,0.2748132427,0.1560018661,0.0878767634
